"","Site","Age.cal.BP","Hill_N1","Abies","Acer","Aconitum","Adonis","Aesculus","Alnus","Alnus.alnobetula","Amaranthaceae","Amaryllidaceae","Amygdaloideae","Andromeda","Apiaceae","Aquilegia","Arbutus","Arctostaphylos","Argania","Artemisia","Asparagaceae","Asteraceae","Asteraceae..Liguliflorae.","Asteroideae","Astragalus","Berberis","Betula","Betula..Chamaebetula.","Boraginaceae","Brassicaceae","Bruckenthalia","Buxus","Calluna","Campanulaceae","Caprifoliaceae","Caragana","Carduoideae","Carpinus.betulus","Carpinus.orientalis.Ostrya","Caryophyllaceae","Cassiope","Castanea","Cedrus","Celastraceae","Celtis","Ceratonia","Cichorioideae","Cistaceae","Cistus","Clematis","Colchicaceae","Convolvulaceae","Cornus","Corylus","Cotinus","Crassulaceae","Crataegus","Cupressaceae","Cyperaceae","Cytinaceae","Daphne","Delphinium","Dennstaedtiaceae","Diapensia","Dryas","Empetrum","Ephedra","Equisetum","Erica","Ericaceae","Euonymus","Euphorbiaceae","Fabaceae","Fabaceae..herbs.","Fagus","Frangula","Fraxinus","Genisteae","Gentianaceae","Geraniaceae","Halimium","Hedera","Helianthemum","Helleborus","Hippophae","Huperzia","Hypericaceae","Ilex","Impatiens","Iridaceae","Jasminum","Juglans","Juncaceae","Kalmia","Lamiaceae","Larix","Lavandula","Ledum","Ligustrum","Liliaceae","Linaceae","Linnaea","Linum","Lonicera","Lycopodium","Lysimachia","Lythraceae","Malus","Malvaceae","Melanthiaceae","Mercurialis","Montiaceae","Moraceae","Myrica","Myrtaceae","Nartheciaceae","Nerium","Nitrariaceae","Olea","Oleaceae","Onagraceae","Ononis","Ophioglossaceae","Orobanchaceae","Osmundaceae","Oxalidaceae","Oxyria.Rumex","Paliurus","Papaveraceae","Parrotia","Phillyrea","Picea","Picea.orientalis","Pinus..diploxylon.","Pinus..haploxylon.","Pistacia","Plantaginaceae","Platanus","Plumbaginaceae","Poaceae","Polemoniaceae","Polygalaceae","Polygonaceae","Polygonum","Polypodiales","Populus","Portulacaceae","Potentilla","Primulaceae","Prunus","Pteridaceae","Pterocarya","Quercus.deciduous","Quercus.evergreen","Quercus.intermediate","Ranunculaceae","Ranunculus","Resedaceae","Rhamnaceae","Rhamnus","Rhododendron","Rhus","Ribes","Rosaceae","Rosmarinus","Rubiaceae","Rubus","Ruscus","Salix","Salvia","Sambucus","Sanguisorba.group","Santalaceae","Saxifragaceae","Scrophulariaceae","Solanaceae","Sorbus","Styrax","Tamarix","Taxus","Teucrium","Thalictrum","Thymelaeaceae","Tilia","Tofieldia","Trollius","Ulmus","Ulmus.Zelkova","Urticaceae","Vaccinium","Valerianaceae","Verbenaceae","Viburnum","Violaceae","Viscum","Vitex","Ziziphus","Zygophyllaceae"
"1","Enol",2233,13.31909058,0,0,0,0,0,0.024714829,0,0.001901141,0,0,0,0,0,0,0,0,0.003802281,0,0,0,0.007604563,0,0,0.079847909,0,0,0.001901141,0,0,0,0,0,0,0,0,0,0.001901141,0,0.053231939,0,0,0,0,0.009505703,0,0,0,0,0,0,0.140684411,0,0,0,0.003802281,0.022813688,0,0,0,0,0,0,0,0,0,0.051330798,0,0,0,0.015209125,0,0.098859316,0,0.003802281,0.019011407,0,0,0,0,0,0,0,0,0,0.001901141,0,0,0,0.001901141,0,0,0,0,0,0,0,0.001901141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02851711,0,0.009505703,0,0,0,0,0,0,0.001901141,0,0,0.032319392,0,0,0.11026616,0,0,0,0,0.007604563,0,0,0,0,0,0,0,0.230038023,0.015209125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013307985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003802281,0,0.001901141,0,0,0,0,0,0,0,0,0
"2","Enol",2726,10.65905217,0,0,0,0,0,0.084427767,0,0,0,0,0,0.001876173,0,0,0,0,0.005628518,0,0,0,0,0,0,0.069418386,0,0,0.001876173,0,0,0.001876173,0,0,0,0.003752345,0,0,0.003752345,0,0.001876173,0,0,0,0,0.009380863,0,0,0,0,0,0,0.238273921,0,0,0,0.001876173,0.013133208,0,0,0,0,0,0,0,0,0,0.045028143,0,0,0,0.013133208,0,0.011257036,0,0.00750469,0.001876173,0,0,0,0.003752345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003752345,0,0,0,0,0,0,0,0.016885553,0,0,0,0,0,0,0.031894934,0,0,0.028142589,0,0,0.105065666,0,0,0,0,0.009380863,0,0,0,0,0,0,0,0.251407129,0.00750469,0,0.003752345,0,0,0,0,0,0,0,0,0,0,0,0,0.005628518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016885553,0,0,0,0,0,0,0,0,0,0,0
"3","Enol",3465,8.333191858,0,0,0,0,0,0.01934236,0,0.001934236,0,0,0,0.001934236,0,0,0,0,0.001934236,0,0,0,0,0,0,0.058027079,0,0,0,0,0,0.001934236,0,0,0,0.003868472,0,0,0,0,0.003868472,0,0,0,0,0.005802708,0,0,0,0,0,0,0.292069632,0,0,0,0.001934236,0.015473888,0,0.005802708,0,0,0,0,0,0,0,0,0,0,0,0.023210832,0,0.001934236,0,0.011605416,0.011605416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003868472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0,0.034816248,0,0,0.001934236,0,0,0.077369439,0,0,0,0,0.011605416,0,0,0,0,0,0,0,0.323017408,0.032882012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005802708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001934236,0,0,0.023210832,0,0,0,0,0,0,0,0,0,0,0
"4","Enol",4081,7.385593407,0,0,0,0,0,0.00776699,0,0,0,0,0,0.003883495,0,0,0,0,0,0,0,0,0,0,0,0.075728155,0,0,0.001941748,0,0,0.001941748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00776699,0,0,0,0,0,0,0.285436893,0,0,0,0,0.009708738,0,0,0,0,0,0,0,0,0,0.009708738,0,0,0,0.003883495,0,0,0,0.015533981,0.001941748,0,0,0,0.001941748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005825243,0,0,0,0,0,0,0.081553398,0,0,0.009708738,0,0,0.106796117,0,0,0,0,0.017475728,0,0,0,0,0,0,0,0.314563107,0.015533981,0,0.00776699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001941748,0,0,0,0.001941748,0,0,0,0,0,0,0,0,0,0,0,0.009708738,0,0,0,0,0,0,0,0,0,0,0
"5","Enol",4698,6.683568901,0,0,0,0,0,0.005836576,0,0.001945525,0,0,0,0,0,0,0,0,0.009727626,0,0,0,0,0,0,0.087548638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001945525,0,0,0,0,0.007782101,0,0,0,0,0,0,0.352140078,0,0,0,0.007782101,0.007782101,0,0,0,0,0,0,0,0,0,0.007782101,0,0,0,0.009727626,0,0.003891051,0,0.011673152,0.003891051,0,0,0,0.001945525,0,0,0,0,0,0.001945525,0,0,0,0,0,0,0,0,0,0,0,0.005836576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003891051,0,0,0,0,0,0,0.015564202,0,0,0.007782101,0,0,0.054474708,0,0,0,0,0.013618677,0,0,0,0,0,0,0,0.338521401,0.017509728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011673152,0,0,0.003891051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003891051,0,0,0,0,0,0,0,0,0,0,0
"6","Enol",5314,7.180960725,0,0,0,0,0,0.003787879,0,0,0,0,0,0.001893939,0,0,0,0,0.001893939,0,0,0,0,0,0,0.056818182,0,0,0.001893939,0,0,0,0,0,0,0.003787879,0,0,0,0,0.001893939,0,0,0,0,0.005681818,0,0,0,0,0,0,0.299242424,0,0,0,0,0.007575758,0,0,0,0,0,0,0,0,0,0.007575758,0,0,0,0.009469697,0,0,0,0.03030303,0.003787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001893939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001893939,0,0,0,0,0,0,0.096590909,0,0,0.001893939,0,0,0.113636364,0,0,0,0,0.013257576,0,0,0,0,0,0,0,0.301136364,0.011363636,0,0.001893939,0,0,0,0,0,0,0,0,0,0.001893939,0,0,0.001893939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017045455,0,0,0,0,0,0,0,0,0,0,0
"7","Enol",5930,8.47181851,0,0.001584786,0,0,0,0.001584786,0,0,0,0,0,0.006339144,0,0,0,0,0,0,0,0,0.001584786,0,0,0.103011094,0,0,0.001584786,0,0,0.001584786,0,0.001584786,0,0,0,0,0.001584786,0,0,0,0,0,0,0.004754358,0,0,0,0,0,0,0.255150555,0,0,0,0.011093502,0.006339144,0,0.001584786,0,0.001584786,0,0,0,0,0,0.004754358,0,0,0,0.006339144,0,0.004754358,0,0.004754358,0.012678288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011093502,0,0,0,0,0,0,0.109350238,0,0,0,0,0,0.088748019,0,0,0,0,0.009508716,0,0,0,0,0,0,0,0.280507132,0.025356577,0,0,0,0,0,0,0,0,0,0.001584786,0,0,0,0,0.00792393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031695721,0,0,0,0,0,0,0,0,0,0,0
"8","Enol",6210,6.475334257,0,0,0,0,0,0.005769231,0,0,0,0,0,0.005769231,0,0,0,0,0.001923077,0,0,0,0,0,0,0.05,0,0,0,0,0,0.001923077,0,0,0,0.001923077,0,0,0,0,0,0,0,0,0,0.003846154,0,0,0,0,0,0,0.271153846,0,0,0,0,0.001923077,0,0,0,0,0,0,0,0,0,0.005769231,0,0,0,0.007692308,0,0.005769231,0,0.009615385,0.001923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001923077,0,0,0,0,0,0,0,0.001923077,0,0,0,0,0,0,0.125,0,0,0.003846154,0,0,0.092307692,0,0,0,0,0.017307692,0,0,0,0,0,0,0,0.351923077,0.003846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026923077,0,0,0,0,0,0,0,0,0,0,0
"9","Enol",6490,7.675567714,0,0,0,0,0,0.003787879,0,0,0,0,0,0.001893939,0,0,0,0,0,0,0,0,0.001893939,0,0,0.047348485,0,0.001893939,0,0,0,0,0,0,0,0.005681818,0,0,0.003787879,0,0.001893939,0,0,0,0,0.001893939,0,0,0,0,0,0,0.337121212,0,0,0,0.001893939,0.009469697,0,0,0,0,0,0,0,0,0,0.003787879,0,0,0,0.026515152,0,0,0,0,0.011363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001893939,0,0,0,0,0.003787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009469697,0,0,0,0,0,0,0.070075758,0,0,0,0,0,0.090909091,0,0,0,0,0.011363636,0,0,0,0,0,0,0,0.274621212,0.017045455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018939394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039772727,0,0.001893939,0,0,0,0,0,0,0,0,0
"10","Enol",6771,6.890035057,0,0,0,0,0,0.001915709,0,0,0,0,0,0.003831418,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0.001915709,0,0,0,0.001915709,0,0,0,0,0,0,0.005747126,0,0.003831418,0,0,0,0,0,0,0,0,0,0,0,0.367816092,0,0,0,0,0.01532567,0,0,0,0,0,0,0,0,0,0.003831418,0,0,0,0.013409962,0,0,0,0.009578544,0.005747126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001915709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009578544,0,0,0,0,0,0,0.137931034,0,0,0,0,0,0.059386973,0,0,0,0,0.017241379,0,0,0,0,0,0,0,0.249042146,0.007662835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009578544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038314176,0,0,0,0,0,0,0,0,0,0,0
